,SRCorr,SR_pvalue,Corr,SRCorr (r),SR_pvalue(r),Corr(r)
IN-TN,0.9722720806474878,1.3265511096041956e-08,0.9517174158632453,0.9360449715860124,2.8671316781246756e-06,0.9114552297348307
IN-KL,0.9827338535925038,3.1795070602054924e-10,0.9765165390490911,0.9674860654324348,5.901293337869573e-07,0.9605270898725791
IN-KA,0.9909701958631468,1.1664785466369347e-12,0.9893173316626143,0.9269504575117137,2.79921567161112e-06,0.9129286840671503
IN-AP,0.9808823550382734,6.545077211746324e-10,0.9739707509148284,0.9344925215524463,7.899405097572654e-07,0.9291942513028743
IN-GA,0.9706489696533945,5.364167879968372e-09,0.9613834563449936,0.9464092212624263,1.1045885045750462e-06,0.9382468525938035
IN-MH,0.9922077689049963,1.562785883598901e-14,0.9877639795684086,0.955391220797825,3.520039501879611e-07,0.9500266693178925
IN-CT,0.9674423506134532,4.2508988377981996e-09,0.9745812285786619,0.934816576856526,5.4763466050414554e-06,0.9230438594805314
IN-OR,0.9671886930200568,7.32095847692569e-08,0.9835503877535369,0.8919679661237176,1.0700695585030814e-05,0.8859073366426858
IN-MP,0.9817981557979286,8.451709090846426e-11,0.98559764091649,0.9243935275201739,5.019683296976574e-06,0.9330012555776214
IN-GJ,0.9657941936882793,6.2582232629062565e-09,0.9889713098653548,0.9254960845530331,3.256658641376659e-06,0.9268086849692082
IN-RJ,0.950053779396735,1.0966073955968905e-08,0.9714148162161788,0.9116185276773797,5.396372639958664e-06,0.924359931006654
IN-UP,0.9767920987057596,2.337599998345729e-08,0.9910028171444623,0.9184386479833773,3.5329400801297314e-06,0.9123869369426371
IN-JH,0.9566654621429751,4.972458165916916e-09,0.9847597092651327,0.9401520936182941,1.800685262119084e-07,0.9561094142878995
IN-WB,0.9566714155140111,5.665413816621827e-08,0.9734723184029019,0.9426849132765855,3.964679448648827e-06,0.9400891072815423
IN-BR,0.9299878059744507,9.440602416617435e-07,0.9582879722271972,0.9049995534051988,4.24414727323646e-06,0.9086562535200927
IN-HR,0.9734072877289358,5.055429065632512e-09,0.9764261357669427,0.9351738692768234,2.1181150577691886e-07,0.9297040819454396
IN-PB,0.9469228425618961,1.935953378417636e-08,0.9737608354931331,0.9407153670419063,8.746725676683535e-07,0.9329580084677241
IN-HP,0.9415933346915021,1.9974725013596176e-07,0.9732833244858207,0.9116229747904547,5.948339545386488e-06,0.9078146793119736
IN-JK,0.950649337280894,1.7602872354746187e-07,0.9404071565254097,0.9126082751851137,8.472758351007382e-06,0.8923139435079256
IN-UT,0.9704358887609948,7.900427501916991e-09,0.9724625071810074,0.932504933020882,3.590194246428616e-06,0.9251223241449759
IN-SK,0.9573606987233894,2.656105455653535e-05,0.9754996436587858,0.9561012009452382,3.2940739879213744e-08,0.9549572610868275
IN-ML,0.9578139859541049,1.142781364466469e-07,0.9780928866631428,0.9568741652435565,1.2435201188066218e-07,0.960179110071524
IN-AS,0.9910532299216651,1.885228058954718e-14,0.9917198905636038,0.9660136746086536,1.576272127425809e-08,0.9552127868956578
IN-AR,0.9739051340347605,2.2648912103891684e-11,0.9793625538334662,0.9470854876661096,1.0684628962869372e-07,0.960231285061952
IN-NL,0.9535207334794799,3.326322827533504e-08,0.9690964904975621,0.9472442871968214,2.7595800925412785e-07,0.9602216476947149
IN-MZ,0.9343988076165157,1.945647649958745e-08,0.9605342945086451,0.9200571567203396,2.4280170867276495e-07,0.9368903753818659
IN-TR,0.9789038337989848,1.3752987583845712e-11,0.9683236078309535,0.9561311498059718,1.0451383189633487e-07,0.9443152367312708
IN-MN,0.9626892156568723,1.9408642553535178e-07,0.9722168881222816,0.9292854901536717,2.0903356720231527e-06,0.9375580289404581
IN-AN,0.8127653327993781,0.011242609229053789,0.9631875205346369,0.8385128085249676,3.123293564947952e-05,0.8966965847210152
IN-DL,0.9620985394318589,2.409220028120856e-09,0.9807655470782746,0.9178149460337782,5.393054457020481e-06,0.930129836026937
IN-CH,0.9477582035116576,3.278209429941909e-07,0.9818703160583958,0.9255902759307176,7.909712708614946e-06,0.9397309669089761
IN-DD,0.8569975782174883,0.03772716225835717,0.9799436969871912,0.8933905862176215,1.8936044208483255e-05,0.9342703861469452
IN-PY,0.9683367974533261,6.400288348043378e-10,0.9819845255000405,0.9310182034892726,3.0482913980383327e-07,0.9396813861154966
IN-TG,0.9836239189506922,5.5815845006159235e-09,0.9816128663310201,0.9088778930791345,3.725584646032298e-06,0.8977199465038547
IN-DN,0.9067025739195348,3.360254363533198e-07,0.9763315351217391,0.9053593649509744,3.6148220523302685e-07,0.9317942608766375
